raw,std
ND2,MT-ND2
ND1,MT-ND1
COX3,MT-CO3
COX2,MT-CO2
CYTB,MT-CYB
ND4L,MT-ND4L
COX1,MT-CO1
XAGE1E,XAGE1B
DCDC5,DCDC1
PTPN20B,PTPN20
KIAA1804,MAP3K21
ND5,MT-ND5
LOC102724334,H2BC12L
LOC728637,MEIKIN
LOC93432,MGAM2
C7orf76,SEM1
LOC388849,CCDC188
ND6,MT-ND6
ATP6,MT-ATP6
ATP8,MT-ATP8
ND4,MT-ND4
LOC285556,C4orf54
LOC81691,REXO5
GAGE8,GAGE2D
PHOSPHO2-KLHL23,KLHL23
LOC102724594,U2AF1
LOC102724159,PWP2
LOC113230,MISP3
LOC102724560,CBS
ND3,MT-ND3
LOC102723555,SPDYE16
LOC101930123,EEF2K
NARR,RAB34
LOC102724652,CRYAA
TNFAIP8L2-SCNM1,SCNM1
LOC102724428,SIK1
LOC102724488,SYT15
LOC400927-CSNK1E,CSNK1E
LOC100507462,CCDC28A-AS1
LOC100506127,GVQW3
LOC100509457,HLA-DQA1
LOC100507855,AK4
LOC101928108,LY6L
Tat,TAT
hLARP7,LARP7
PNUTS,PPP1R10
PABP,PABPC1
PTB,PTBP2
CoREST,REST
Wdr5,WDR5
Mll1,KMT2A
hnRNPC,HNRNPC
Ro60,RO60
ELAV1,ELAVL1
PSF,SFPQ
SR140,U2SURP
DBHS,NONO
TDP-43,TARDBP
PSP-1,PSPC1
Rpp20,POP7
RPP29,POP4
hPop1,POP1
Rpp25,RPP25
ALDR,AKR1B1
AN32A,ANP32A
ANX11,ANXA11
ASSY,ASS1
BRE1A,RNF20
CD11B,CDK11B
CN166,RTRAF
CPSF5,NUDT21
CRNL1,CRNKL1
CTBL1,CTNNBL1
DAZP1,DAZAP1
DNJC8,DNAJC8
DNJC9,DNAJC9
DPOD2,POLD2
DX39A,DDX39A
DX39B,DDX39B
DYL1,DYNLL1
ECM29,ECPAS
FA50A,FAM50A
FIP1,FIP1L1
FUBP2,KHSRP
GEMI5,GEMIN5
GUAA,GMPS
HNRDL,HNRNPDL
HNRH1,HNRNPH1
HNRH2,HNRNPH2
HNRH3,HNRNPH3
HNRLL,HNRNPLL
HNRPG,RBMX
hnRNPL,HNRNPL
hnRNPM,HNRNPM
HSP74,HSPA4
IDHC,IDH1
IF2B1,IGF2BP1
eIF4AIII,EIF4A3
IF4H,EIF4H
KAD1,AK1
KHDR1,KHDRBS1
KI67,MKI67
LAP2A,TMPO
LC7L2,LUC7L2
LC7L3,LUC7L3
LEG3,LGALS3
LKHA4,LTA4H
MARE1,MAPRE1
MGN,MAGOH
MINT,SPEN
MRT4,MRTO4
NOG1,GTPBP4
PDIP3,POLDIP3
PIMT,PCMT1
PM14,TIFA
PNPH,PNP
PPAC,ACP1
PPHLN,PPHLN1
PR38A,PRPF38A
PR38B,PRPF38B
PRP16,DHX38
PRP31,PRPF31 
PRP4B,PRP4K
PRP8,PRPF8
RB12B,RBM12B
RECQ1,RECQL
RED,IK
RFA1,RPA1
RFA2,RPA2
RL10,RPL10
RL10A,RPL10A
RL23,RPL23
RL26,RPL26
RL27,RPL27
RL3,RPL3
RL31,RPL31
RL32,RPL32
RL4,RPL4
RL7,RPL7
RNZ2,ELAC2
RPB1,POLR2A
RPB2,POLR2B
RPB7,POLR2G
RPR1A,RPRD1A
RRP44,DIS3
RS10,RPS10
RS12,RPS12
RS13,RPS13
RS15A,RPS15A
RS17,RPS17
RS18,RPS18
RS3A,RPS3A
RS4X,RPS4X
RS6,RPS6
RS7,RPS7
RS8,RPS8
RU1C,SNRPC
RUXE,SNRPE
RUXF,SNRPF
RUXG,SNRPG
S10A4,S100A4
SAE2,UBA2
SAFB1,SAFB
SAHH,AHCY
SERC,PSAT1
SK2L2,MTREX
SmD1,SNRPD1
SmD3,SMD3
SMN,SNRPN
SNR40,SNRNP40
SNUT2,USP39
SPB6,SERPINB6
SPF45,RBM17
SPS1,SEPHS1
SPT5H,SUPT5H
SPT6H,SUPT6H
SRp38,SRSF10
SRS11,SRSF11
SYF1,XAB2
T2FB,GTF2F2
TCP4,SUB1
TCRG1,TCERG1
TF3C1,GTF3C1
TF3C4,GTF3C4
TFP11,TFIP11
TR150,THRAP3
TYSY,TYMS
U5S1,EFTUD2
UBP7,USP7
VIR,VIRMA
XPO2,CSE1L
YBOX1,YBX1
YTDC1,YTHDC1
ZC11A,ZC3H11A
ZC3HD,ZC3H13
ZC3HE,ZC3H14
ZN326,ZNF326
ZN638,ZNF638
CRM1,XPO1
SAP155,SF3B1
SRp20,SRSF3
SFRS2,SRSF2
SFRS1,SRSF1
SAKI,NSUN2
SAP61,SF3A3
SAP62,SF3A2
SAP114,SF3A1
SFRS7,SRSF7
SRm160,SRRM1
GCFC1,PAXBP1
1433T,YWHAQ
ARGL1,ARGLU1
C19L2,CWF19L2
CSK22,CSNK2A2
CSK2B,CSNK2B
DJC17,DNAJC17
DNLI3,LIG3
FKB1A,FKBP1A
HTSF1,HTATSF1
KIAA0947,ICE1
MDHC,MDH1
NADAP,SLC4A1AP
PAPS2,PAPSS2
PRP17,CDC40
SRP09,SRP9
TR112,TRMT112
Lsm3,LSM3
Lsm6,LSM6
SAP49,SF3B4
MPP10,MPHOSPH10
U3-55K,RRP9
hPSF,TAP1
Oct1,POU2F1
IGR2,IGF2
IMP1,IMMP1L
Mtor,MTOR
NM23,NME1
cyclic AMP,CREB3L4
Sox2,SOX2
Runx2,RUNX2
Peg1,MEST
RFP2,TRIM13
TFIIH,ERCC3
ASF,ASF1B
U5-15KD,TXNL4A
NS-1,IVNS1ABP
Rbm20,RBM20
Coilin,COIL
C7orf59,LAMTOR4
PRIC285,HELZ2
C10orf26,WBP1L
TMEM22,SLC35G2
C18orf19,FAM210A
C19orf76,ADM5
NBPF24,NBPF11
SIKE,SIKE1
NBPF16,NBPF15
NELF,NSMF
Smad3,SMAD3
C17orf109,SMIM5
C17orf110,ERLN
SPDYE2L,SPDYE2B
PCTK1,CDK16
C9orf25,FAM219A
RDBP,NELFE
Fas,FASN
C16orf7,VPS9D1
DOM3Z,DXO
C11orf2,VPS51
C11orf51,ANAPC15
MLL4,KMT2B
COBRA1,NELFB
GTPBP5,MTG2
FAM158A,EMC9
C9orf167,TOR4A
ARF,ARFGAP1
C16orf53,PAGR1
MNF1,UQCC2
WDR85,DPH7
C15orf42,TICRR
AGXT2L2,PHYKPL
C14orf21,NOP9
C19orf63,EMC10
sept9,SEPTIN9
FAM18B1,TVP23B
MLL5,KMT2E
CUGBP2,CELF2
FAM211A,LRRC75A
Caprin1,CAPRIN1
C16orf42,TSR3
C20orf201,LKAAEAR1
HICE1,HAUS8
TMEM93,EMC6
KIAA1984,CCDC183
C19orf46,SYNE4
C19orf55,PROSER3
CCDC56,COA3
ACCN2,ASIC1
HEATR7A,MROH1
FAM54B,MTFR1L
10-Mar,MARCHF10
C8orf73,MROH6
KIAA0284,CEP170B
KIAA0182,GSE1
C21orf56,SPATC1L
C17orf72,PRR29
IL-34,IL34
C9orf86,RABL6
LOC646862,RNF225
C17orf57,EFCAB13
RBAK-LOC389458,RBAKDN
KIAA1271,MAVS
PKM2,PKM
C12orf53,PIANP
C12orf32,RHNO1
LOC440335,SMIM22
DKFZp434D064,DBN1
ACCN3,ASIC3
Snai1,NAI1
METTL11A,NTMT1
C17orf81,ELP5
C8orf55,THEM6
C20orf11,GID8
C14orf118,GPATCH2L
C20orf20,MRGBP
SELS,SELENOS
ACCN4,ASIC4
KIAA1370,ATOSA
CXCR7,ACKR3
KIAA1609,MEAK7
CCDC21,CEP85
7-Mar,MARCHF7
C1orf135,AUNIP
OBFC2B,NABP2
C6orf97,CCDC170
N-PAC,GLYR1
KIAA1737,CIPC
sept1,SEPTIN1
C20orf151,RBBP8NL
9-Mar,MARCHF9
FAM194A,ERICH6
C16orf55,SPATA33
C9orf96,STKLD1
C11orf35,LMNTD2
TH1L,NELFCD
C9orf169,CYSRT1
FAM48A,SUPT20H
EMID2,COL26A1
EIF2C1,AGO1
RBP,RBP1
hnRNPA2B1,HNRNPA2B1
C17ORF85,NCBP3
Ataxin-2,ATXN2
FAKD2,FASTKD2
HNRPK,HNRNPK
RNC,DROSHA
SUV3,SUPV3L1
T2FA,GTF2F1
EXOS5,EXOSC5
IF2B2,IGF2BP2
PAPD1,MTPAP
SYAC,AARS1
YBOX3,YBX3
ZRAB2,ZRANB2
ELAV3,ELAVL3
MSI1H,MSI1
LAR4B,LARP4B
Slug,SNAI2
Ezh2,EZH2
HSP90,HSP90AA1
CBP,CREBBP
p53,TP53
Runx3,RUNX3
b-catenin,CTNNB1
TAp63,TP63
c-IAP1,BIRC2
COX-2,MT-CO2
TTP,ZFP36
NF-κB,NFKB1
LSD1,KDM1A
hnRNPU,HNRNPU
HBXIP,LAMTOR5
HuR,ELAVL1
mTOR,MTOR
p21,CDKN1A
NF45,ILF2
NF90,ILF3
sema3a,SEMA3A
Foxo1,FOXO1
FoxO1,FOXO1
Brn3a,POU4F1
α-tubulin,TUBA1B
LSD2,KDM1B
Rbfox2,RBFOX2
eIF4E,EIF4E
Rbfox1,RBFOX1
hnRNPA1,HNRNPA1
hnRNPD,HNRNPD
TruB1,TRUB1
YAP,YAP1
Brg1,SMARCA4
hnRNPK,HNRPK
PP1A,PPP1CA
bFGF,FGF2
DNMT3b,DNMT3B
FoxM1,FOXM1
PU.1,SPI1
eIF4A3,EIF4A3
PUM,MUC1
c-jun,JUN
HNF4α,HNF4A
Nrf2,NFE2L2
SAFA,HNRNPU
ICAT,CTNNBIP1
TDP43,TARDBP
NFκB1,NFKB1
G9a,EHMT2
ERα,ESR1
IKK,IKBKB
c-Myc,c-myc
FKBP51,FKBP5
pSmad2,SMAD2
pSmad3,SMAD3
p300,EP300
EBP1,PA2G4
YBX-1,YBX1
P-STAT3,STAT3
Dnmt1,DNMT1
Dnmt3a,DNMT3A
Dnmt3b,DNMT3B
CREB,CREBBP
Bcl-3,BCL3
eIF4A1,EIF4A1
STAT5,STAT5A
RAB7,RAB7A
TPI,TPI1
CYCLINL1,CCNL1
CHOP,DDIT3
FOXO3A,FOXO3
P300,EP300
SET7,SETD7
SET9,SETD7
MCP-1,CCL2
YB1,YBX1
QK,QKI
LIN28,LIN28A
GRP78,HSPA5
MLL1,KMT2A
E2F,E2F1
PI3K-110α,PIK3CA
REDD1,DDIT4
Smad2,SMAD2
Bub3,BUB3
p32,C1QBP
Vps13D,VPS13D
HIF2α,EPAS1
Stau1,STAU1
GCN5,KAT2A
